date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:03	39657/39657	---M-Z	200	added ('OK')	image/svg+xml	etag:%229ae9-65f58ccc-6704a9bb2a2c9b15;gz%22	https://www.crantia.com/wp-content/themes/crantianewtheme/images/logo.svg	D:/coding/Digify/www.crantia.com/wp-content/themes/crantianewtheme/images/logo.svg	(from https://www.crantia.com/)
15:11:04	808/808	---M--	200	added ('OK')	image/png	etag:%22328-65f58ccc-f04db1c822bed0ab;;;%22	https://www.crantia.com/wp-content/themes/crantianewtheme/images/flag1.png	D:/coding/Digify/www.crantia.com/wp-content/themes/crantianewtheme/images/flag1.png	(from https://www.crantia.com/)
15:11:07	83636/83636	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2009:41:02%20GMT	https://www.crantia.com/best-web-design-and-development-company-in-india/	D:/coding/Digify/www.crantia.com/best-web-design-and-development-company-in-india/index.html	(from https://www.crantia.com/)
15:11:07	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	D:/coding/Digify/www.google-analytics.com/analytics.js	(from https://www.crantia.com/)
15:11:07	81902/81902	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2009:41:02%20GMT	https://www.crantia.com/web-app-development/	D:/coding/Digify/www.crantia.com/web-app-development/index.html	(from https://www.crantia.com/)
15:11:08	80075/80075	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2009:41:03%20GMT	https://www.crantia.com/best-digital-marketing-company-in-trivandrum/	D:/coding/Digify/www.crantia.com/best-digital-marketing-company-in-trivandrum/index.html	(from https://www.crantia.com/)
15:11:08	79741/79741	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2009:41:06%20GMT	https://www.crantia.com/ecommerce-development/	D:/coding/Digify/www.crantia.com/ecommerce-development/index.html	(from https://www.crantia.com/)
15:11:09	81103/81103	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2009:41:07%20GMT	https://www.crantia.com/branding/	D:/coding/Digify/www.crantia.com/branding/index.html	(from https://www.crantia.com/)
15:11:09	78294/78294	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2009:41:07%20GMT	https://www.crantia.com/mobile-app-development/	D:/coding/Digify/www.crantia.com/mobile-app-development/index.html	(from https://www.crantia.com/)
15:11:09	86122/86122	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2009:41:07%20GMT	https://www.crantia.com/best-web-design-company-in-kerala/	D:/coding/Digify/www.crantia.com/best-web-design-company-in-kerala/index.html	(from https://www.crantia.com/)
15:11:10	70623/70623	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2009:41:08%20GMT	https://www.crantia.com/careers/	D:/coding/Digify/www.crantia.com/careers/index.html	(from https://www.crantia.com/)
15:11:10	63875/63875	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202024%2009:41:08%20GMT	https://www.crantia.com/clients/	D:/coding/Digify/www.crantia.com/clients/index.html	(from https://www.crantia.com/)
